City,Temperature,Humidity,Weather,Wind Speed
Shanghai,22,44,Stormy,7.2
Dalian,30,31,Sunny,11.2
Xi'an,18,31,Sunny,13.8
Dalian,17,68,Sunny,3.6
Xi'an,16,39,Stormy,9.4
Hangzhou,33,65,Sunny,2.3
Guangzhou,32,36,Sunny,10.6
Xi'an,22,42,Cloudy,10.9
Zhengzhou,22,31,Sunny,19.3
Nanjing,23,38,Rainy,19.1
Zhengzhou,30,45,Cloudy,5.7
Xi'an,16,59,Stormy,8.6
Tianjin,31,61,Cloudy,1.4
Xi'an,32,80,Rainy,16.8
Hangzhou,32,38,Cloudy,10.2
Chongqing,35,42,Snowy,5.3
Qingdao,15,78,Rainy,5.3
Chongqing,30,33,Rainy,2.7
Xi'an,28,68,Stormy,17.0
Dalian,25,75,Cloudy,0.7
Hangzhou,34,71,Snowy,14.2
Shijiazhuang,33,74,Stormy,3.4
Beijing,16,60,Sunny,10.7
Jinan,35,58,Rainy,11.1
Tianjin,22,86,Cloudy,2.7
Shenzhen,29,88,Stormy,13.3
Jinan,29,30,Cloudy,19.9
Hangzhou,28,37,Rainy,1.2
Ningbo,30,45,Rainy,2.2
Chengdu,20,83,Rainy,2.0
Xi'an,22,79,Stormy,14.9
Suzhou,35,44,Cloudy,10.8
Qingdao,18,56,Snowy,11.0
Dalian,20,70,Cloudy,13.7
Guangzhou,17,63,Stormy,8.1
Xi'an,22,84,Snowy,9.1
Xi'an,34,79,Rainy,7.1
Shijiazhuang,35,47,Snowy,5.5
Shijiazhuang,16,82,Cloudy,0.3
Fuzhou,27,51,Snowy,3.5
Nanjing,15,52,Cloudy,13.5
Hangzhou,15,40,Rainy,8.5
Shijiazhuang,32,38,Snowy,18.2
Nanjing,28,42,Cloudy,3.8
Suzhou,20,48,Cloudy,12.1
Guangzhou,32,57,Rainy,12.6
Dalian,32,83,Stormy,0.9
Hangzhou,16,86,Snowy,16.1
Ningbo,30,57,Rainy,18.9
Chengdu,15,37,Snowy,0.9
Beijing,19,46,Cloudy,18.0
Fuzhou,25,58,Snowy,6.0
Suzhou,20,81,Sunny,11.4
Shijiazhuang,22,75,Stormy,14.6
Zhengzhou,32,89,Snowy,13.4
Suzhou,35,85,Rainy,11.9
Chongqing,24,69,Snowy,9.9
Chengdu,15,68,Rainy,1.0
Beijing,24,87,Cloudy,14.0
Beijing,30,42,Sunny,2.2
Xi'an,29,60,Rainy,14.5
Hangzhou,15,46,Sunny,7.0
Qingdao,28,46,Cloudy,18.9
Xi'an,17,48,Stormy,17.1
Shijiazhuang,25,48,Stormy,12.6
Tianjin,32,48,Snowy,15.9
Shanghai,33,57,Rainy,9.2
Tianjin,17,79,Rainy,18.8
Hangzhou,21,39,Snowy,19.9
Nanjing,31,42,Cloudy,8.2
Wuhan,25,81,Snowy,0.8
Shanghai,28,80,Sunny,10.3
Shanghai,15,85,Snowy,13.0
Hangzhou,35,83,Rainy,1.5
Shanghai,25,68,Snowy,2.3
Zhengzhou,32,90,Snowy,16.3
Beijing,35,56,Cloudy,2.6
Guangzhou,28,72,Sunny,9.9
Shenzhen,33,53,Stormy,12.4
Zhengzhou,15,83,Snowy,5.3
Hangzhou,25,57,Cloudy,2.0
Xi'an,32,77,Snowy,9.0
Nanjing,30,66,Sunny,15.9
Shenzhen,18,90,Cloudy,5.3
Suzhou,29,57,Stormy,17.8
Guangzhou,22,40,Snowy,3.3
Beijing,23,84,Snowy,0.5
Xi'an,22,75,Stormy,10.7
Xi'an,32,78,Rainy,5.5
Zhengzhou,17,33,Stormy,16.8
Chengdu,22,39,Stormy,8.0
Hangzhou,30,54,Cloudy,5.6
Nanjing,17,34,Snowy,19.8
Suzhou,15,75,Snowy,15.5
Xi'an,24,42,Stormy,19.9
Guangzhou,32,62,Cloudy,6.7
Qingdao,24,69,Cloudy,18.3
Jinan,23,59,Snowy,2.3
Shenzhen,30,90,Cloudy,17.5
Xi'an,32,33,Rainy,11.1
